date,open,high,low,close,volume,company
2025-01-02,248.65660659999048,248.826433311358,241.55442975303322,243.5821990966797,55740700,Apple
2025-01-03,243.0927276611328,243.91181916074598,241.624340886356,243.0927276611328,40244100,Apple
2025-01-06,244.04168187374515,247.05836939894766,242.93290033169586,244.73092651367188,45045600,Apple
2025-01-07,242.71314361950866,245.28032844029428,241.08494412707995,241.94400024414062,40856000,Apple
2025-01-08,241.65429905026372,243.44234164075266,239.78635773622742,242.43344116210938,37628900,Apple
2025-01-10,239.7463920626497,239.8962364632009,232.74409661721964,236.58987426757812,61710900,Apple
2025-01-13,233.27352322575203,234.41227060505477,229.46771001708314,234.14256286621094,49630700,Apple
2025-01-14,234.49217517741417,235.8606656353981,232.21468051006943,233.02378845214844,39435300,Apple
2025-01-15,234.38230107288462,238.6975638581554,234.17252500331003,237.60874938964844,39832000,Apple
2025-01-16,237.089336348529,237.74859991927732,227.7795647267042,228.00930786132812,71759100,Apple
2025-01-17,231.86506609768284,232.03487756376998,228.22906438809179,229.7274169921875,68488300,Apple
2025-01-21,223.75398423747347,224.17352112887505,219.13906319002535,222.39547729492188,98070400,Apple
2025-01-22,219.54859611049605,223.87384226456615,219.54859611049605,223.58416748046875,64126500,Apple
2025-01-23,224.493183388126,226.78066167492807,222.05586069453574,223.41436767578125,60234800,Apple
2025-01-24,224.53312753788666,225.38220009721186,221.16683361690275,222.5353240966797,54697900,Apple
2025-01-27,223.77396171163917,231.89502211760887,223.73399710835045,229.6075439453125,94863400,Apple
2025-01-28,230.59647127201654,239.9262098046868,230.55650666713984,237.99832153320312,75707600,Apple
2025-01-29,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100,Apple
2025-01-30,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300,Apple
2025-01-31,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100,Apple
2025-02-03,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300,Apple
2025-02-04,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300,Apple
