date,open,high,low,close,volume,company
2024-10-01,229.0159547825387,229.14565893600417,223.24864947388588,225.71322631835938,63285000,Apple
2024-10-02,225.3939223013361,226.8706678098605,222.53022998119604,226.28196716308594,32880600,Apple
2024-10-03,224.64557310138042,226.3119038145279,222.82957789090332,225.17440795898438,34044200,Apple
2024-10-04,227.39951613756347,227.49930262356304,223.63780617480538,226.30194091796875,37245100,Apple
2024-10-07,224.0069975750027,225.19438676879486,220.84396072803747,221.2031707763672,39505400,Apple
2024-10-08,223.80742742544692,225.4837307412941,222.75973024040246,225.27420043945312,31855700,Apple
2024-10-09,224.73538646570117,229.24546472466872,224.33627096325682,229.03591918945312,33591100,Apple
2024-10-10,227.279775108536,228.99599906464633,226.67111410985407,228.53700256347656,28183500,Apple
2024-10-11,228.79644988971887,228.9062089337624,226.84074743911052,227.05029296875,31759200,Apple
2024-10-14,228.19775690140833,231.22110160659443,228.09798564307096,230.79205322265625,39882100,Apple
2024-10-15,233.0969778733182,236.9684620133565,231.85969551276995,233.33645629882812,64751400,Apple
2024-10-16,231.09139869260778,231.61024577942743,229.33525401328018,231.27099609375,34082200,Apple
2024-10-17,232.9173703418766,233.3364614020046,230.0137723986246,231.6401824951172,32993800,Apple
2024-10-18,235.66133386929857,235.66133386929857,233.4961010856326,234.4839324951172,46431500,Apple
2024-10-21,233.9351372634737,236.32987592195377,233.9351372634737,235.96067810058594,36254500,Apple
2024-10-22,233.376366009758,235.70125104779564,232.08920560922664,235.342041015625,38846600,Apple
2024-10-23,233.56595129753524,234.62362105235994,227.25982300232985,230.25323486328125,52287000,Apple
2024-10-24,229.4749437774939,230.31311065070702,227.90839952304313,230.06365966796875,31109500,Apple
2024-10-25,229.23547896644118,232.7078323586645,229.0658541264054,230.9018096923828,38802300,Apple
2024-10-28,232.80762499530724,234.21451699403664,232.03931169048735,232.88743591308594,36087100,Apple
2024-10-29,232.58810476348472,233.815399347975,231.8098189074392,233.15684509277344,35417200,Apple
2024-10-30,232.09917848988178,232.95729049985403,229.04590082483264,229.59469604492188,47070900,Apple
2024-10-31,228.83635490362704,229.325284321648,224.8750719925984,225.4138946533203,64370100,Apple
2024-11-01,220.48474431371312,224.8551305713263,219.78628458026085,222.4204864501953,65276700,Apple
2024-11-04,220.5046966292777,222.3007315284092,219.2275088130919,221.52244567871094,44944500,Apple
2024-11-05,221.31291912362707,223.45819152571042,220.65436486265338,222.95928955078125,28111300,Apple
2024-11-06,222.12113695305962,225.5735453041769,220.7042571772517,222.23089599609375,54561100,Apple
2024-11-07,224.13670611072257,227.37956894750107,224.0768403097807,226.98043823242188,42137700,Apple
2024-11-08,226.92049995960826,228.4088689967903,226.16134014604208,226.7107391357422,38328800,Apple
2024-11-11,224.7528927426808,225.45212091614073,221.25673663335022,223.98373413085938,42005600,Apple
2024-11-12,224.30339000560164,225.34224111445195,223.11469448970428,223.98373413085938,40398300,Apple
2024-11-13,223.76397540644066,226.4010754152989,222.5153482196322,224.8727569580078,48566200,Apple
2024-11-14,224.77287777547028,228.61864039722624,224.7528954725484,227.9693603515625,44923900,Apple
2024-11-15,226.15134020310103,226.67077335813082,224.023689933323,224.7528839111328,47923700,Apple
2024-11-18,225.00261496304853,229.4876892234719,224.92270099550518,227.7695770263672,44686000,Apple
2024-11-19,226.73070634208972,229.90722171238716,226.41106572007726,228.02928161621094,36211800,Apple
2024-11-20,227.80951934283004,229.67746064503265,225.64190448211673,228.7484893798828,35169600,Apple
2024-11-21,228.6286329426038,229.90722593821596,225.46211628612434,228.26902770996094,42108300,Apple
2024-11-22,227.80952873867182,230.46661102927646,227.80952873867182,229.61753845214844,38168300,Apple
2024-11-25,231.2058026888721,232.99383009111634,229.48769048234254,232.61424255371094,90152800,Apple
2024-11-26,233.07373841155265,235.31128373473052,233.07373841155265,234.8018341064453,45986200,Apple
2024-11-27,234.21249554010248,235.43115689965902,233.55321672420507,234.67198181152344,33498400,Apple
2024-11-29,234.55211454995276,237.5488197625333,233.71304074851764,237.06935119628906,28481400,Apple
2024-12-02,237.00941446483552,240.52553753151284,236.89953466637493,239.3268585205078,48137100,Apple
2024-12-03,239.54662188503684,242.49337894569658,238.6376176509325,242.3834991455078,38861000,Apple
2024-12-04,242.60325739533934,243.84190102311462,240.9850414761411,242.74310302734375,44383900,Apple
2024-12-05,243.72204013219255,244.2714238935446,241.86408229295347,242.7730712890625,40033900,Apple
2024-12-06,242.6432183998472,244.3613305629988,241.8141281502541,242.5732879638672,36870600,Apple
2024-12-09,241.56440918324205,246.96847124510987,241.48449521514058,246.47900390625,44649200,Apple
2024-12-10,246.61884065291167,247.93739821602466,245.0705399660552,247.4978790283203,36914800,Apple
2024-12-11,247.68767076725757,250.52454792031958,245.98952569372008,246.2192840576172,45205800,Apple
2024-12-12,246.61885092340057,248.46682524629017,245.41017310687806,247.68768310546875,32777500,Apple
2024-12-13,247.54782582286595,249.01619729452798,245.96955931284188,247.85748291015625,33155300,Apple
2024-12-16,247.71764416028498,251.10392039685559,247.3780059899919,250.7642822265625,51694800,Apple
2024-12-17,249.80533943156328,253.5512208135588,249.50566587259755,253.20159912109375,51356400,Apple
2024-12-18,251.88305927654196,254.0007260278641,247.46791553993853,247.77757263183594,56774100,Apple
2024-12-19,247.22817727073837,251.72323503929724,246.81862390484895,249.51565551757812,60882300,Apple
